event_list_time,event_type,dust_category,event_list_cdf_file,summary_epoch_utc,summary_epoch_tt2000,summary_source_file,summary_record_index,abs_delta_seconds,matched_within_1s
26-Nov-2025 12:13:02,Triggered,Dust,imap_idex_l1b_sci-10days_20251126_v002.cdf,2025-11-26T12:13:02.033357696,817431251217357696,imap_idex_l1b_sci-10days_20251126_v003.cdf,1,0.033357,True
27-Nov-2025 22:06:55,Triggered,Dust,imap_idex_l1b_sci-10days_20251126_v002.cdf,2025-11-27T22:06:54.655205760,817553283839205760,imap_idex_l1b_sci-10days_20251126_v003.cdf,11,0.344794,True
28-Nov-2025 4:16:31,Triggered,Dust,imap_idex_l1b_sci-10days_20251126_v002.cdf,2025-11-28T04:16:30.822996608,817575460006996608,imap_idex_l1b_sci-10days_20251126_v003.cdf,12,0.177003,True
29-Nov-2025 12:08:45,Triggered,Dust,imap_idex_l1b_sci-10days_20251126_v002.cdf,2025-11-29T12:08:45.147356416,817690194331356416,imap_idex_l1b_sci-10days_20251126_v003.cdf,20,0.147356,True
8-Dec-2025 22:56:17,Triggered,Dust,imap_idex_l1b_sci-10days_20251206_v002.cdf,2025-12-08T22:56:16.730970240,818506645914970240,imap_idex_l1b_sci-10days_20251206_v003.cdf,121,0.269029,True
15-Dec-2025 8:08:07,Triggered,Dust,imap_idex_l1b_sci-10days_20251206_v002.cdf,2025-12-15T08:08:06.711681664,819058155895681664,imap_idex_l1b_sci-10days_20251206_v003.cdf,312,0.288318,True
24-Dec-2025 17:33:11,Triggered,Dust,imap_idex_l1b_sci-10days_20251216_v002.cdf,2025-12-24T17:33:10.743698432,819869659927698432,imap_idex_l1b_sci-10days_20251216_v003.cdf,145,0.256301,True
25-Dec-2025 8:46:52,Triggered,Dust,imap_idex_l1b_sci-10days_20251216_v002.cdf,2025-12-25T08:46:51.620711296,819924480804711296,imap_idex_l1b_sci-10days_20251216_v003.cdf,168,0.379288,True
28-Dec-2025 23:17:20,Triggered,Dust,imap_idex_l1b_sci-10days_20251226_v003.cdf,2025-12-28T23:17:20.463906688,820235909647906688,imap_idex_l1b_sci-10days_20251226_v003.cdf,38,0.463906,True
19-Jan-2026 7:17:01,Triggered,Dust,imap_idex_l1b_sci-10days_20260110_v002.cdf,2026-01-19T07:17:00.561355520,822079089745355520,imap_idex_l1b_sci-10days_20260110_v003.cdf,151,0.438644,True
