time,proton_density_cm3,flow_speed_km_s,flow_pressure_npa,scalar_b_nt,bz_gsm_nt,proton_flux_cm2_s
2025-09-30 00:00:00,22.5,390.0,6.2,5.8,1.2,877500000.0
2025-09-30 01:00:00,23.9,409.0,6.89,10.2,-1.5,977509999.9999999
2025-09-30 02:00:00,31.0,422.0,10.58,11.6,-7.2,1308200000.0
2025-09-30 03:00:00,51.4,424.0,18.33,9.9,-6.5,2179360000.0
2025-09-30 04:00:00,18.2,428.0,6.12,14.8,-13.7,778960000.0
2025-09-30 05:00:00,12.7,422.0,4.18,16.8,-16.1,535939999.99999994
2025-09-30 06:00:00,16.6,397.0,5.14,15.5,-11.6,659020000.0000001
2025-09-30 07:00:00,14.0,401.0,4.27,16.4,-4.4,561400000.0
2025-09-30 08:00:00,12.5,399.0,3.84,16.8,7.9,498750000.0
2025-09-30 09:00:00,12.1,405.0,3.95,15.5,-0.9,490050000.0
2025-09-30 10:00:00,13.0,427.0,4.83,14.5,-8.0,555100000.0
2025-09-30 11:00:00,13.0,443.0,5.04,14.9,0.3,575900000.0
2025-09-30 12:00:00,8.9,474.0,3.87,17.5,3.4,421860000.00000006
2025-09-30 13:00:00,9.0,548.0,5.61,17.1,-6.7,493200000.0
2025-09-30 14:00:00,7.8,552.0,5.05,17.1,-5.1,430559999.99999994
2025-09-30 15:00:00,8.6,560.0,5.96,15.9,-5.5,481600000.0
2025-09-30 16:00:00,10.3,618.0,7.87,10.5,-3.2,636540000.0
2025-09-30 17:00:00,8.4,656.0,7.23,9.3,-3.3,551040000.0
2025-09-30 18:00:00,7.5,618.0,5.73,9.3,-1.7,463500000.0
2025-09-30 19:00:00,6.3,640.0,5.34,10.2,-1.3,403200000.0
2025-09-30 20:00:00,5.8,650.0,4.96,10.6,-5.8,377000000.0
2025-09-30 21:00:00,5.4,637.0,4.63,9.6,-1.5,343980000.0
2025-09-30 22:00:00,4.7,640.0,4.03,10.3,0.5,300800000.0
2025-09-30 23:00:00,5.3,682.0,5.02,9.6,-1.1,361460000.0
2025-10-01 00:00:00,5.2,694.0,4.95,8.8,-2.0,360880000.0
2025-10-01 01:00:00,5.3,710.0,5.18,8.4,-0.5,376300000.0
2025-10-01 02:00:00,4.3,691.0,3.99,9.2,-1.7,297130000.0
2025-10-01 03:00:00,3.7,705.0,3.65,8.3,-3.1,260850000.0
2025-10-01 04:00:00,3.6,746.0,3.88,8.1,-3.1,268560000.0
2025-10-01 05:00:00,3.1,708.0,3.07,7.6,-2.3,219480000.00000003
2025-10-01 06:00:00,3.1,675.0,2.65,7.6,-1.0,209250000.0
2025-10-01 07:00:00,3.1,670.0,2.57,7.9,-2.7,207700000.0
2025-10-01 08:00:00,2.8,680.0,2.5,7.8,1.4,190399999.99999997
2025-10-01 09:00:00,3.6,708.0,3.44,7.9,2.2,254880000.00000003
2025-10-01 10:00:00,3.1,675.0,2.69,7.6,1.0,209250000.0
2025-10-01 11:00:00,3.1,709.0,3.01,7.3,-0.4,219790000.0
2025-10-01 12:00:00,2.7,748.0,2.99,7.0,-4.8,201960000.0
2025-10-01 13:00:00,2.4,719.0,2.44,6.7,-1.9,172560000.0
2025-10-01 14:00:00,2.3,721.0,2.4,6.8,-1.0,165830000.0
2025-10-01 15:00:00,2.3,712.0,2.29,7.1,1.5,163760000.0
2025-10-01 16:00:00,2.3,734.0,2.37,7.5,-3.5,168819999.99999997
2025-10-01 17:00:00,2.1,719.0,2.05,7.6,-0.6,150990000.0
2025-10-01 18:00:00,2.1,740.0,2.13,8.1,-3.0,155400000.0
2025-10-01 19:00:00,2.2,744.0,2.25,8.0,-4.1,163680000.00000003
2025-10-01 20:00:00,2.2,744.0,2.3,7.9,-2.5,163680000.00000003
