set,epoch_tt2000,epoch_utc,source_file,record_index,qualified_peak_count,all_7sig_peak_count,max_fwhm_us,qualified_channels
outside_70_criteria,817218914971916032,2025-11-24T01:14:05.787916032,imap_idex_l1b_sci-10days_20251116_v003.cdf,0,2,2,0.0163461538461539,"tof_high,tof_mid"
outside_70_criteria,817251229643192960,2025-11-24T10:12:40.459192960,imap_idex_l1b_sci-10days_20251116_v003.cdf,1,2,3,0.0208249120821379,"tof_high,tof_mid"
outside_70_criteria,817355613010257024,2025-11-25T15:12:23.826257024,imap_idex_l1b_sci-10days_20251116_v003.cdf,5,2,2,0.0183187645687646,"tof_high,tof_mid"
outside_70_criteria,817395101476901248,2025-11-26T02:10:32.292901248,imap_idex_l1b_sci-10days_20251126_v003.cdf,0,2,3,0.0154694017511569,"tof_high,tof_mid"
outside_70_criteria,817434385306743168,2025-11-26T13:05:16.122743168,imap_idex_l1b_sci-10days_20251126_v003.cdf,2,2,2,0.0175961538461532,"tof_high,tof_mid"
outside_70_criteria,817464872977704320,2025-11-26T21:33:23.793704320,imap_idex_l1b_sci-10days_20251126_v003.cdf,4,2,3,0.0197210908749371,"tof_high,tof_mid"
outside_70_criteria,817529086963608960,2025-11-27T15:23:37.779608960,imap_idex_l1b_sci-10days_20251126_v003.cdf,7,2,2,0.0182692307692313,"tof_high,tof_mid"
outside_70_criteria,817529473618461824,2025-11-27T15:30:04.434461824,imap_idex_l1b_sci-10days_20251126_v003.cdf,8,2,2,0.0163655578655579,"tof_high,tof_mid"
outside_70_criteria,817535886028465024,2025-11-27T17:16:56.844465024,imap_idex_l1b_sci-10days_20251126_v003.cdf,10,2,2,0.018158612453915,"tof_high,tof_mid"
outside_70_criteria,817628790479818112,2025-11-28T19:05:21.295818112,imap_idex_l1b_sci-10days_20251126_v003.cdf,14,2,3,0.0161538461538459,"tof_high,tof_mid"
outside_70_criteria,817631954800777216,2025-11-28T19:58:05.616777216,imap_idex_l1b_sci-10days_20251126_v003.cdf,15,2,2,0.0165064102564101,"tof_high,tof_mid"
outside_70_criteria,817632879535947136,2025-11-28T20:13:30.351947136,imap_idex_l1b_sci-10days_20251126_v003.cdf,16,2,2,0.0153846153846152,"tof_high,tof_mid"
outside_70_criteria,817690224499349376,2025-11-29T12:09:15.315349376,imap_idex_l1b_sci-10days_20251126_v003.cdf,21,2,2,0.0147573332407456,"tof_high,tof_mid"
outside_70_criteria,817729101391004544,2025-11-29T22:57:12.207004544,imap_idex_l1b_sci-10days_20251126_v003.cdf,22,2,2,0.0153846153846153,"tof_high,tof_mid"
outside_70_criteria,817840500686391296,2025-12-01T05:53:51.502391296,imap_idex_l1b_sci-10days_20251126_v003.cdf,33,2,2,0.0155448717948717,"tof_high,tof_mid"
outside_70_criteria,817996005664907520,2025-12-03T01:05:36.480907520,imap_idex_l1b_sci-10days_20251126_v003.cdf,37,2,2,0.0156730769230769,"tof_high,tof_mid"
outside_70_criteria,818009303675266816,2025-12-03T04:47:14.491266816,imap_idex_l1b_sci-10days_20251126_v003.cdf,38,2,2,0.016613941613943,"tof_high,tof_mid"
outside_70_criteria,818035271563608704,2025-12-03T12:00:02.379608704,imap_idex_l1b_sci-10days_20251126_v003.cdf,40,2,2,0.0150700550255298,"tof_high,tof_mid"
outside_70_criteria,818132709464426624,2025-12-04T15:04:00.280426624,imap_idex_l1b_sci-10days_20251126_v003.cdf,50,2,2,0.0161858974358973,"tof_high,tof_mid"
outside_70_criteria,818137917112238720,2025-12-04T16:30:47.928238720,imap_idex_l1b_sci-10days_20251126_v003.cdf,52,2,2,0.0154666013392127,"tof_high,tof_mid"
outside_70_criteria,818146592755762304,2025-12-04T18:55:23.571762304,imap_idex_l1b_sci-10days_20251126_v003.cdf,53,2,2,0.0169582785679895,"tof_high,tof_mid"
outside_70_criteria,818162863353478400,2025-12-04T23:26:34.169478400,imap_idex_l1b_sci-10days_20251126_v003.cdf,57,2,3,0.0286664079930156,"tof_high,tof_mid"
outside_70_criteria,818167955013894528,2025-12-05T00:51:25.829894528,imap_idex_l1b_sci-10days_20251126_v003.cdf,58,2,2,0.0197715572715577,"tof_high,tof_mid"
outside_70_criteria,818174084964040064,2025-12-05T02:33:35.780040064,imap_idex_l1b_sci-10days_20251126_v003.cdf,62,2,2,0.0153846153846153,"tof_high,tof_mid"
outside_70_criteria,818180736569897984,2025-12-05T04:24:27.385897984,imap_idex_l1b_sci-10days_20251126_v003.cdf,65,2,2,0.0152893049932523,"tof_high,tof_mid"
outside_70_criteria,818202040415542400,2025-12-05T10:19:31.231542400,imap_idex_l1b_sci-10days_20251126_v003.cdf,71,2,2,0.0161697042794601,"tof_high,tof_mid"
outside_70_criteria,818207333497778048,2025-12-05T11:47:44.313778048,imap_idex_l1b_sci-10days_20251126_v003.cdf,73,2,2,0.0176581637999659,"tof_high,tof_mid"
outside_70_criteria,818236203664620544,2025-12-05T19:48:54.480620544,imap_idex_l1b_sci-10days_20251126_v003.cdf,74,2,2,0.0174188739492569,"tof_high,tof_mid"
outside_70_criteria,818253346127318272,2025-12-06T00:34:36.943318272,imap_idex_l1b_sci-10days_20251206_v003.cdf,0,2,2,0.0150641025641024,"tof_high,tof_mid"
outside_70_criteria,818258688569591680,2025-12-06T02:03:39.385591680,imap_idex_l1b_sci-10days_20251206_v003.cdf,1,2,3,0.0187970105495885,"tof_high,tof_mid"
