source_file,start,end,events,single_ge20ns,trigger_origin,trigger_mode_hg,trigger_level_hg,trigger_mode_mg,trigger_level_mg,trigger_mode_lg,trigger_level_lg
imap_idex_l1b_sci-10days_20250927_v001.0004.cdf,2025-10-01T16:40:05.136989312,2025-10-01T16:49:01.130220416,21,0,HS ADC0I trigger (TOF HG); SW trigger,HGThreshold,0.21674999999999997, ,-1e+31, ,-1e+31
imap_idex_l1b_sci-10days_20251027_v001.0004.cdf,2025-11-04T14:40:36.492580736,2025-11-04T14:50:35.482299392,26,5,HS ADC0I trigger (TOF HG); SW trigger,HGThreshold,0.21674999999999997, ,-1e+31, ,-1e+31
imap_idex_l1b_sci-10days_20251106_v001.0004.cdf,2025-11-06T20:24:22.301125120,2025-11-06T21:03:41.377493120,25,1,HS ADC0I trigger (TOF HG); SW trigger, ; HGThreshold,-1e+31; 0.21674999999999997, ,-1e+31, ,-1e+31
imap_idex_l1b_sci-10days_20251116_v001.0004.cdf,2025-11-24T01:14:05.787916032,2025-11-25T15:31:31.395685760,7,0,HS ADC0I trigger (TOF HG),HGThreshold,0.2601, ,-1e+31, ,-1e+31
imap_idex_l1b_sci-10days_20251126_v001.0004.cdf,2025-11-26T02:10:32.292901248,2025-12-05T21:44:38.924555904,76,0,HS ADC0I trigger (TOF HG); SW trigger,HGThreshold,0.2601; 0.289, ,-1e+31, ,-1e+31
imap_idex_l1b_sci-10days_20251206_v001.0004.cdf,2025-12-06T00:34:36.943318272,2025-12-15T23:15:45.979887232,323,0,HS ADC0I trigger (TOF HG); SW trigger,HGThreshold,0.171955; 0.2601; 0.289, ,-1e+31, ,-1e+31
imap_idex_l1b_sci-10days_20251216_v001.0004.cdf,2025-12-16T01:04:32.274551808,2025-12-25T22:46:31.623144448,176,1,HS ADC0I trigger (TOF HG); SW trigger,HGThreshold,0.171955; 0.289, ,-1e+31, ,-1e+31
imap_idex_l1b_sci-10days_20251226_v001.0004.cdf,2025-12-26T00:44:23.836617600,2025-12-31T20:47:41.008312064,80,0,HS ADC0I trigger (TOF HG),HGThreshold,0.171955, ,-1e+31, ,-1e+31
imap_idex_l1b_sci-10days_20260101_v001.0004.cdf,2026-01-01T00:43:55.976672128,2026-01-05T01:24:57.610844672,110,0,HS ADC0I trigger (TOF HG); SW trigger,HGThreshold,0.171955; 0.289, ,-1e+31, ,-1e+31
imap_idex_l1b_sci-10days_20260110_v001.0004.cdf,2026-01-12T22:31:34.255270912,2026-01-19T12:05:45.941176704,399,0,HS ADC0I trigger (TOF HG); SW trigger,HGThreshold,0.171955; 0.289, ,-1e+31, ,-1e+31
imap_idex_l1b_sci-10days_20260120_v001.0004.cdf,2026-01-20T00:02:30.299453824,2026-01-29T09:21:05.849471104,717,1,HS ADC0I trigger (TOF HG); HS ADC0Q trigger (TOF LG); HS ADC1Q trigger (TOF MG); SW trigger,HGSinglePulse; HGThreshold,0.15894999999999998; 0.171955; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260130_v001.0004.cdf,2026-01-30T00:01:52.681938944,2026-02-08T23:00:19.349870848,31,10,"HS ADC0I trigger (TOF HG); HS ADC0I trigger (TOF HG), HS ADC1Q trigger (TOF MG); HS ADC0Q trigger (TOF LG); SW trigger",HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260209_v001.0004.cdf,2026-02-09T13:51:45.170775168,2026-02-18T13:58:31.658833280,19,5,HS ADC0I trigger (TOF HG); HS ADC0Q trigger (TOF LG); SW trigger,HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260219_v001.0004.cdf,2026-02-19T11:04:38.183161472,2026-02-27T07:38:06.464698496,20,3,"HS ADC0I trigger (TOF HG); HS ADC0I trigger (TOF HG), HS ADC1Q trigger (TOF MG); HS ADC1Q trigger (TOF MG); SW trigger",HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260301_v001.0004.cdf,2026-03-01T00:59:37.354275456,2026-03-09T21:09:02.054473984,20,2,HS ADC0I trigger (TOF HG); HS ADC0Q trigger (TOF LG); HS ADC1Q trigger (TOF MG); SW trigger,HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260311_v001.0004.cdf,2026-03-11T00:01:48.945471616,2026-03-19T11:44:59.333492352,27,2,HS ADC0I trigger (TOF HG); HS ADC0Q trigger (TOF LG); HS ADC1Q trigger (TOF MG); SW trigger,HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260321_v001.0017.cdf,2026-03-21T03:32:18.203021184,2026-03-29T20:18:24.067437056,33,16,HS ADC0I trigger (TOF HG); HS ADC1Q trigger (TOF MG); SW trigger,HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260331_v001.0017.cdf,2026-03-31T08:07:01.270724608,2026-04-08T10:45:28.330198400,306,201,"HS ADC0I trigger (TOF HG); HS ADC0I trigger (TOF HG), HS ADC1Q trigger (TOF MG); HS ADC1Q trigger (TOF MG); SW trigger",HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260410_v001.0017.cdf,2026-04-10T18:49:58.677713408,2026-04-19T15:03:43.922083456,25,7,HS ADC0I trigger (TOF HG); HS ADC0Q trigger (TOF LG); HS ADC1Q trigger (TOF MG); SW trigger,HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260420_v001.0017.cdf,2026-04-20T00:01:45.895932928,2026-04-28T21:06:38.585253760,33,10,HS ADC0I trigger (TOF HG); HS ADC1Q trigger (TOF MG); SW trigger,HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260430_v001.0017.cdf,2026-04-30T15:58:08.512196224,2026-05-08T19:24:53.205805056,26,9,"HS ADC0I trigger (TOF HG); HS ADC0I trigger (TOF HG), HS ADC1Q trigger (TOF MG); HS ADC0Q trigger (TOF LG); SW trigger",HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260510_v001.0017.cdf,2026-05-10T01:57:15.476984320,2026-05-19T09:17:07.137968768,28,7,"HS ADC0I trigger (TOF HG); HS ADC0I trigger (TOF HG), HS ADC1Q trigger (TOF MG); HS ADC0Q trigger (TOF LG); HS ADC1Q trigger (TOF MG); SW trigger",HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260520_v001.0017.cdf,2026-05-20T11:07:27.172169216,2026-05-29T19:13:05.594686464,28,6,HS ADC0I trigger (TOF HG); HS ADC1Q trigger (TOF MG); SW trigger,HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260530_v001.0023.cdf,2026-05-30T00:01:43.440296320,2026-06-08T18:29:48.052572800,60,23,"HS ADC0I trigger (TOF HG); HS ADC0I trigger (TOF HG), HS ADC1Q trigger (TOF MG); HS ADC0Q trigger (TOF LG); SW trigger",HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260609_v001.0012.cdf,2026-06-09T04:16:11.888754560,2026-06-18T21:20:54.650424448,36,18,HS ADC0I trigger (TOF HG); SW trigger,HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
imap_idex_l1b_sci-10days_20260619_v001.0016.cdf,2026-06-19T01:27:09.145993088,2026-06-28T03:53:29.176688384,22,9,HS ADC0I trigger (TOF HG); SW trigger,HGSinglePulse; HGThreshold,0.15894999999999998; 0.289, ; MGSinglePulse,-1e+31; 5.8759999999999994, ; LGThreshold,-1e+31; 268.308
