source_file,record_index,epoch_tt2000,epoch_utc,channel,cdf_variable,baseline_method,baseline,robust_sigma,mean,std,sample_count
imap_idex_l1b_sci-10days_20250927_v003.cdf,0,812608874320989312,2025-10-01T16:40:05.136989312,TOF H,TOF_High,mean,0.14775413505922577,0.0009683380388081564,0.14775413505922577,0.0008118534356970978,8189
imap_idex_l1b_sci-10days_20250927_v003.cdf,0,812608874320989312,2025-10-01T16:40:05.136989312,TOF M,TOF_Mid,mean,5.796026523385029,0.015458363570644533,5.796026523385029,0.011499070131406922,8189
imap_idex_l1b_sci-10days_20250927_v003.cdf,0,812608874320989312,2025-10-01T16:40:05.136989312,TOF L,TOF_Low,mean,263.8301304188546,1.3044946410061482,263.8301304188546,0.9399977138942103,8189
imap_idex_l1b_sci-10days_20250927_v003.cdf,0,812608874320989312,2025-10-01T16:40:05.136989312,Target H,Target_High,mean,333.02682812500007,0.02643197812507551,333.02682812500007,0.10633012488935527,512
imap_idex_l1b_sci-10days_20250927_v003.cdf,0,812608874320989312,2025-10-01T16:40:05.136989312,Target L,Target_Low,mean,32603.701171875007,12.30731742188363,32603.701171875007,9.148906963495763,512
imap_idex_l1b_sci-10days_20250927_v003.cdf,0,812608874320989312,2025-10-01T16:40:05.136989312,Ion Grid,Ion_Grid,mean,1.5100613593749999,0.00023330100937458712,1.5100613593749999,0.0004676684478341467,512
imap_idex_l1b_sci-10days_20251027_v003.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,TOF H,TOF_High,mean,0.14778752057638297,0.0010178354065454253,0.14778752057638297,0.0008205184409138548,8189
imap_idex_l1b_sci-10days_20251027_v003.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,TOF M,TOF_Mid,mean,5.793476468433264,0.01167765209915746,5.793476468433264,0.011649463640439194,8189
imap_idex_l1b_sci-10days_20251027_v003.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,TOF L,TOF_Low,mean,263.9449942605935,1.151971690755898,263.9449942605935,0.95808738861418,8189
imap_idex_l1b_sci-10days_20251027_v003.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,Target H,Target_High,mean,332.98002929687505,0.04295196445307915,332.98002929687505,0.10607388492729783,512
imap_idex_l1b_sci-10days_20251027_v003.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,Target L,Target_Low,mean,32600.584375000006,7.686354375006472,32600.584375000006,8.633568547209673,512
imap_idex_l1b_sci-10days_20251027_v003.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,Ion Grid,Ion_Grid,mean,1.5097641249999998,0.00020737867500051087,1.5097641249999998,0.0004731920692224557,512
imap_idex_l1b_sci-10days_20251106_v003.cdf,0,815732731485125120,2025-11-06T20:24:22.301125120,TOF H,TOF_High,mean,0.14774873549883988,0.0009603326505800304,0.14774873549883988,0.0007681898977625009,8189
imap_idex_l1b_sci-10days_20251106_v003.cdf,0,815732731485125120,2025-11-06T20:24:22.301125120,TOF M,TOF_Mid,mean,5.7916950177066795,0.009036473251923562,5.7916950177066795,0.011709016373839568,8189
imap_idex_l1b_sci-10days_20251106_v003.cdf,0,815732731485125120,2025-11-06T20:24:22.301125120,TOF L,TOF_Low,mean,263.79918622542436,1.350372502185807,263.79918622542436,0.9161765491250631,8189
imap_idex_l1b_sci-10days_20251106_v003.cdf,0,815732731485125120,2025-11-06T20:24:22.301125120,Target H,Target_High,mean,333.20765625,0.05286395624998247,333.20765625,0.11332878313093592,512
imap_idex_l1b_sci-10days_20251106_v003.cdf,0,815732731485125120,2025-11-06T20:24:22.301125120,Target L,Target_Low,mean,32606.632812500007,6.771312187490291,32606.632812500007,8.975357839096798,512
imap_idex_l1b_sci-10days_20251106_v003.cdf,0,815732731485125120,2025-11-06T20:24:22.301125120,Ion Grid,Ion_Grid,mean,1.5096635898437496,0.00035643209765704576,1.5096635898437496,0.0005019784565440896,512
imap_idex_l1b_sci-10days_20251106_v003.cdf,21,815734487567478016,2025-11-06T20:53:38.383478016,TOF H,TOF_High,mean,0.14774312419098792,0.0009520133255587222,0.14774312419098792,0.000779829494899917,8189
imap_idex_l1b_sci-10days_20251106_v003.cdf,21,815734487567478016,2025-11-06T20:53:38.383478016,TOF M,TOF_Mid,mean,5.792190401758456,0.009770929647086765,5.792190401758456,0.011622123861211073,8189
imap_idex_l1b_sci-10days_20251106_v003.cdf,21,815734487567478016,2025-11-06T20:53:38.383478016,TOF L,TOF_Low,mean,263.84965099523754,1.2755534344607942,263.84965099523754,0.9170645161187857,8189
imap_idex_l1b_sci-10days_20251106_v003.cdf,21,815734487567478016,2025-11-06T20:53:38.383478016,Target H,Target_High,mean,333.19555859375004,0.034927971093765504,333.19555859375004,0.1216766032790343,512
imap_idex_l1b_sci-10days_20251106_v003.cdf,21,815734487567478016,2025-11-06T20:53:38.383478016,Target L,Target_Low,mean,32604.19492187501,10.385728828113134,32604.19492187501,9.006233387917451,512
imap_idex_l1b_sci-10days_20251106_v003.cdf,21,815734487567478016,2025-11-06T20:53:38.383478016,Ion Grid,Ion_Grid,mean,1.5097393554687497,0.00024410198203187876,1.5097393554687497,0.0004686456702744618,512
