source_file,record_index,epoch_tt2000,epoch_utc,channel,cdf_variable,baseline,robust_sigma,mean,std,sample_count
imap_idex_l1a_sci-10days_20250927_v001.cdf,0,812608874320989312,2025-10-01T16:40:05.136989312,TOF H,TOF_High,511.0,2.9652,511.2599829038955,2.80918143839826,8189
imap_idex_l1a_sci-10days_20250927_v001.cdf,0,812608874320989312,2025-10-01T16:40:05.136989312,TOF M,TOF_Mid,513.0,1.4826,512.9227011845159,1.0176168257882268,8189
imap_idex_l1a_sci-10days_20250927_v001.cdf,0,812608874320989312,2025-10-01T16:40:05.136989312,TOF L,TOF_Low,513.0,2.9652,513.2881914763707,1.8287893266424389,8189
imap_idex_l1a_sci-10days_20250927_v001.cdf,0,812608874320989312,2025-10-01T16:40:05.136989312,Target H,Target_High,2043.0,0.6523320545358782,2043.109375,0.6523320545358782,512
imap_idex_l1a_sci-10days_20250927_v001.cdf,0,812608874320989312,2025-10-01T16:40:05.136989312,Target L,Target_Low,2064.0,1.4826,2063.525390625,0.579044744525075,512
imap_idex_l1a_sci-10days_20250927_v001.cdf,0,812608874320989312,2025-10-01T16:40:05.136989312,Ion Grid,Ion_Grid,2024.0,0.6269014046034272,2024.2109375,0.6269014046034272,512
imap_idex_l1a_sci-10days_20251027_v001.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,TOF H,TOF_High,511.0,2.9652,511.37550372450846,2.83916415541126,8189
imap_idex_l1a_sci-10days_20251027_v001.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,TOF M,TOF_Mid,513.0,1.4826,512.6970326047136,1.0309259858795736,8189
imap_idex_l1a_sci-10days_20251027_v001.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,TOF L,TOF_Low,514.0,2.9652,513.5116619855904,1.8639832463310977,8189
imap_idex_l1a_sci-10days_20251027_v001.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,Target H,Target_High,2043.0,0.6507600302287775,2042.822265625,0.6507600302287775,512
imap_idex_l1a_sci-10days_20251027_v001.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,Target L,Target_Low,2063.0,0.5464283890639284,2063.328125,0.5464283890639284,512
imap_idex_l1a_sci-10days_20251027_v001.cdf,0,815539305676580736,2025-11-04T14:40:36.492580736,Ion Grid,Ion_Grid,2024.0,0.6343057228182637,2023.8125,0.6343057228182637,512
imap_idex_l1a_sci-10days_20251106_v001.cdf,0,815732731485125120,2025-11-06T20:24:22.301125120,TOF H,TOF_High,511.0,2.9652,511.2412993039443,2.6580965320501737,8189
imap_idex_l1a_sci-10days_20251106_v001.cdf,0,815732731485125120,2025-11-06T20:24:22.301125120,TOF M,TOF_Mid,513.0,1.4826,512.5393820979363,1.0361961392778332,8189
imap_idex_l1a_sci-10days_20251106_v001.cdf,0,815732731485125120,2025-11-06T20:24:22.301125120,TOF L,TOF_Low,513.0,2.9652,513.227988765417,1.7824446481032414,8189
imap_idex_l1a_sci-10days_20251106_v001.cdf,0,815732731485125120,2025-11-06T20:24:22.301125120,Target H,Target_High,2044.0,0.6952686081652184,2044.21875,0.6952686081652184,512
imap_idex_l1a_sci-10days_20251106_v001.cdf,0,815732731485125120,2025-11-06T20:24:22.301125120,Target L,Target_Low,2064.0,0.5680606227276715,2063.7109375,0.5680606227276715,512
imap_idex_l1a_sci-10days_20251106_v001.cdf,0,815732731485125120,2025-11-06T20:24:22.301125120,Ion Grid,Ion_Grid,2024.0,0.6728933733834502,2023.677734375,0.6728933733834502,512
imap_idex_l1a_sci-10days_20251106_v001.cdf,21,815734487567478016,2025-11-06T20:53:38.383478016,TOF H,TOF_High,511.0,2.9652,511.221883013799,2.6983719546709906,8189
imap_idex_l1a_sci-10days_20251106_v001.cdf,21,815734487567478016,2025-11-06T20:53:38.383478016,TOF M,TOF_Mid,513.0,1.4826,512.5832213945537,1.028506536390357,8189
imap_idex_l1a_sci-10days_20251106_v001.cdf,21,815734487567478016,2025-11-06T20:53:38.383478016,TOF L,TOF_Low,513.0,2.9652,513.3261692514349,1.7841722103478392,8189
imap_idex_l1a_sci-10days_20251106_v001.cdf,21,815734487567478016,2025-11-06T20:53:38.383478016,Target H,Target_High,2044.0,0.7464822287057057,2044.14453125,0.7464822287057057,512
imap_idex_l1a_sci-10days_20251106_v001.cdf,21,815734487567478016,2025-11-06T20:53:38.383478016,Target L,Target_Low,2064.0,0.5700147713872066,2063.556640625,0.5700147713872066,512
