source_file,record_index,epoch_tt2000,epoch_utc,quicklook_classification,selection_source,l2a_source_file,l2a_record_index,l2a_target_low_impact_charge,l2a_target_high_impact_charge,l2a_ion_grid_impact_charge,l2a_target_low_chi_squared,l2a_target_high_chi_squared,l2a_ion_grid_chi_squared,l2a_target_low_reduced_chi_squared,l2a_target_high_reduced_chi_squared,l2a_ion_grid_reduced_chi_squared,l2a_tof_snr,seconds_since_previous_pulser,test_id,injection_index,test_start_utc,l2a_inferred_injection_level,pulser_like_l2a_charge,injection_level,injection_level_source,injection_repeat_index,test_event_count
imap_idex_l1b_sci-10days_20250927_v003.cdf,1,812608978320114432,2025-10-01T16:41:49.136114432,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,1,77.83002435890376,81.12291474779386,0.284316264120936,45640.34132706385,72.59207383782962,0.0011419779674434662,90.02039709480049,0.14317963281623197,2.2524220265157125e-06,,,1,1,2025-10-01 16:41:49.136114,1.0,True,1,l2a_ion_grid_charge,1,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,2,812608984320028928,2025-10-01T16:41:55.136028928,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,2,77.36425582045922,81.1912535063882,0.2842715214734097,45592.40179616096,74.20058968262941,0.0011352714777444178,89.92584180702359,0.14635224789473258,2.2391942361822835e-06,,5.999914496,1,2,2025-10-01 16:41:49.136114,1.0,True,1,l2a_ion_grid_charge,2,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,3,812608990319943424,2025-10-01T16:42:01.135943424,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,3,76.86993393968442,81.24904822913066,0.2844280035717488,40631.957241858865,74.25784311198014,0.0011662941869285467,80.14192749873543,0.14646517379088783,2.3003830116933857e-06,,5.999914496,1,3,2025-10-01 16:41:49.136114,1.0,True,1,l2a_ion_grid_charge,3,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,4,812608996319857920,2025-10-01T16:42:07.135857920,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,4,78.95439881839047,81.2155921484075,0.2844735688503599,42190.0444340727,73.10430639650411,0.0013025582017484796,83.21507777923608,0.14418995344478128,2.569148326920078e-06,,5.999914496,1,4,2025-10-01 16:41:49.136114,1.0,True,1,l2a_ion_grid_charge,4,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,5,812609085318576640,2025-10-01T16:43:36.134576640,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,5,153.63232449381394,162.20934720794975,0.5756307270138226,42435.18212596135,153.97621749656184,0.003214656360210662,83.69858407487446,0.3037006262259602,6.340545089172903e-06,,88.99871872,1,5,2025-10-01 16:41:49.136114,2.0,True,2,l2a_ion_grid_charge,1,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,6,812609091318491264,2025-10-01T16:43:42.134491264,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,6,153.7188650381686,162.37648944279113,0.5756214637440232,45325.00485499589,177.8194594787664,0.0035008309359394656,89.39843166665855,0.3507287169206438,6.90499198410151e-06,,5.999914624,1,6,2025-10-01 16:41:49.136114,2.0,True,2,l2a_ion_grid_charge,2,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,7,812609097318405760,2025-10-01T16:43:48.134405760,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,7,156.1767579305124,162.42172247926834,0.5759880771901502,41167.44788870016,181.61178115328156,0.0033804249272817296,81.19812206844213,0.35820864132797153,6.667504787537928e-06,,5.999914496,1,7,2025-10-01 16:41:49.136114,2.0,True,2,l2a_ion_grid_charge,3,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,8,812609103318320384,2025-10-01T16:43:54.134320384,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,8,154.248764918113,162.46006586379747,0.5758932533129238,39428.260682483815,180.28036128458547,0.0034044488441910413,77.76777254927774,0.35558256663626325,6.714889239035584e-06,,5.999914624,1,8,2025-10-01 16:41:49.136114,2.0,True,2,l2a_ion_grid_charge,4,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,9,812609187317143808,2025-10-01T16:45:18.133143808,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,9,229.85458254734112,243.86076495748233,0.8654401754389861,40923.404257319955,271.71298537077513,0.006053417429110794,80.71677368307684,0.53592304806859,1.1939679347358568e-05,,83.998823424,1,9,2025-10-01 16:41:49.136114,3.0,True,3,l2a_ion_grid_charge,1,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,10,812609193317078272,2025-10-01T16:45:24.133078272,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,10,231.698596467053,244.1575716879874,0.8659839785889578,41868.603659529064,305.83156280166173,0.006233928944694281,82.58107230676345,0.603218072587104,1.229571783963369e-05,,5.999934464,1,10,2025-10-01 16:41:49.136114,3.0,True,3,l2a_ion_grid_charge,2,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,11,812609199316992768,2025-10-01T16:45:30.132992768,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,11,235.38634055974399,244.14208947174666,0.8657911934946964,43585.46757740373,304.2887426678541,0.006409137627922896,85.96739167140775,0.6001750348478384,1.2641297096494863e-05,,5.999914496,1,11,2025-10-01 16:41:49.136114,3.0,True,3,l2a_ion_grid_charge,3,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,12,812609205316907392,2025-10-01T16:45:36.132907392,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,12,229.91750121134464,244.13729122563268,0.8660651559857635,40275.791306198116,309.03335625078387,0.006398387133799588,79.43943058421719,0.6095332470429662,1.2620092966074137e-05,,5.999914624,1,12,2025-10-01 16:41:49.136114,3.0,True,3,l2a_ion_grid_charge,4,20
imap_idex_l1b_sci-10days_20250927_v003.cdf,13,812609295315705216,2025-10-01T16:47:06.131705216,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,13,309.70184972878997,324.0068365411834,1.1528411999128836,44077.665859061955,440.9344315750005,0.008784844100650053,86.93819696067447,0.8696931589250503,1.732710867978314e-05,,89.998797824,1,13,2025-10-01 16:41:49.136114,4.0,True,4,l2a_ion_grid_charge,1,20
