source_file,record_index,epoch_tt2000,epoch_utc,test_id,test_start_utc,injection_index,injection_level,l2a_inferred_injection_level,pulser_like_l2a_charge,injection_level_source,injection_repeat_index,test_event_count,quicklook_classification,selection_source,l2a_source_file,l2a_record_index,l2a_target_low_impact_charge,l2a_target_high_impact_charge,l2a_ion_grid_impact_charge,l2a_target_low_chi_squared,l2a_target_high_chi_squared,l2a_ion_grid_chi_squared,l2a_target_low_reduced_chi_squared,l2a_target_high_reduced_chi_squared,l2a_ion_grid_reduced_chi_squared,channel,waveform_variable,fit_variable,fit_residual_rms,fit_residual_robust_sigma,fit_residual_median,fit_residual_max_abs,fit_residual_sample_count
imap_idex_l1b_sci-10days_20250927_v003.cdf,1,812608978320114432,2025-10-01T16:41:49.136114432,1,2025-10-01 16:41:49.136114,1,1,1.0,True,l2a_ion_grid_charge,1,20,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,1,77.83002435890376,81.12291474779386,0.284316264120936,45640.34132706385,72.59207383782962,0.0011419779674434662,90.02039709480049,0.14317963281623197,2.2524220265157125e-06,Target H,Target_High,target_high_fit_results,0.3765387021469519,0.24166380000001617,-0.02522238104825192,1.27990056163776,512
imap_idex_l1b_sci-10days_20250927_v003.cdf,1,812608978320114432,2025-10-01T16:41:49.136114432,1,2025-10-01 16:41:49.136114,1,1,1.0,True,l2a_ion_grid_charge,1,20,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,1,77.83002435890376,81.12291474779386,0.284316264120936,45640.34132706385,72.59207383782962,0.0011419779674434662,90.02039709480049,0.14317963281623197,2.2524220265157125e-06,Target L,Target_Low,target_low_fit_results,9.441466605057796,9.350056536204336,0.8916687474320497,25.069227954747475,512
imap_idex_l1b_sci-10days_20250927_v003.cdf,1,812608978320114432,2025-10-01T16:41:49.136114432,1,2025-10-01 16:41:49.136114,1,1,1.0,True,l2a_ion_grid_charge,1,20,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,1,77.83002435890376,81.12291474779386,0.284316264120936,45640.34132706385,72.59207383782962,0.0011419779674434662,90.02039709480049,0.14317963281623197,2.2524220265157125e-06,Ion Grid,Ion_Grid,ion_grid_fit_results,0.001493460986321042,0.0011060195999998716,-0.0003901440837454917,0.005271241353097755,512
imap_idex_l1b_sci-10days_20250927_v003.cdf,2,812608984320028928,2025-10-01T16:41:55.136028928,1,2025-10-01 16:41:49.136114,2,1,1.0,True,l2a_ion_grid_charge,2,20,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,2,77.36425582045922,81.1912535063882,0.2842715214734097,45592.40179616096,74.20058968262941,0.0011352714777444178,89.92584180702359,0.14635224789473258,2.2391942361822835e-06,Target H,Target_High,target_high_fit_results,0.3806875710131414,0.24166380000001617,-0.006937949044640845,1.2618933918796529,512
imap_idex_l1b_sci-10days_20250927_v003.cdf,2,812608984320028928,2025-10-01T16:41:55.136028928,1,2025-10-01 16:41:49.136114,2,1,1.0,True,l2a_ion_grid_charge,2,20,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,2,77.36425582045922,81.1912535063882,0.2842715214734097,45592.40179616096,74.20058968262941,0.0011352714777444178,89.92584180702359,0.14635224789473258,2.2391942361822835e-06,Target L,Target_Low,target_low_fit_results,9.43650675611091,8.470181251695442,1.6835065206178115,27.64479932917675,512
imap_idex_l1b_sci-10days_20250927_v003.cdf,2,812608984320028928,2025-10-01T16:41:55.136028928,1,2025-10-01 16:41:49.136114,2,1,1.0,True,l2a_ion_grid_charge,2,20,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,2,77.36425582045922,81.1912535063882,0.2842715214734097,45592.40179616096,74.20058968262941,0.0011352714777444178,89.92584180702359,0.14635224789473258,2.2391942361822835e-06,Ion Grid,Ion_Grid,ion_grid_fit_results,0.0014890692075822285,0.0011060195999998716,-0.0002685085450984115,0.005366324257331412,512
imap_idex_l1b_sci-10days_20250927_v003.cdf,3,812608990319943424,2025-10-01T16:42:01.135943424,1,2025-10-01 16:41:49.136114,3,1,1.0,True,l2a_ion_grid_charge,3,20,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,3,76.86993393968442,81.24904822913066,0.2844280035717488,40631.957241858865,74.25784311198014,0.0011662941869285467,80.14192749873543,0.14646517379088783,2.3003830116933857e-06,Target H,Target_High,target_high_fit_results,0.3808344126101083,0.24166380000001617,-0.014322009965496818,1.2666498687491412,512
imap_idex_l1b_sci-10days_20250927_v003.cdf,3,812608990319943424,2025-10-01T16:42:01.135943424,1,2025-10-01 16:41:49.136114,3,1,1.0,True,l2a_ion_grid_charge,3,20,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,3,76.86993393968442,81.24904822913066,0.2844280035717488,40631.957241858865,74.25784311198014,0.0011662941869285467,80.14192749873543,0.14646517379088783,2.3003830116933857e-06,Target L,Target_Low,target_low_fit_results,8.90838321402967,9.6303147089853,0.5906498907424975,27.621416308196785,512
imap_idex_l1b_sci-10days_20250927_v003.cdf,3,812608990319943424,2025-10-01T16:42:01.135943424,1,2025-10-01 16:41:49.136114,3,1,1.0,True,l2a_ion_grid_charge,3,20,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,3,76.86993393968442,81.24904822913066,0.2844280035717488,40631.957241858865,74.25784311198014,0.0011662941869285467,80.14192749873543,0.14646517379088783,2.3003830116933857e-06,Ion Grid,Ion_Grid,ion_grid_fit_results,0.001509277421100845,0.0011060196000002008,0.00010779872760990905,0.005132397146207612,512
imap_idex_l1b_sci-10days_20250927_v003.cdf,4,812608996319857920,2025-10-01T16:42:07.135857920,1,2025-10-01 16:41:49.136114,4,1,1.0,True,l2a_ion_grid_charge,4,20,Science,event_list,imap_idex_l2a_sci-10days_20250927_v003.cdf,4,78.95439881839047,81.2155921484075,0.2844735688503599,42190.0444340727,73.10430639650411,0.0013025582017484796,83.21507777923608,0.14418995344478128,2.569148326920078e-06,Target H,Target_High,target_high_fit_results,0.377864854717493,0.24166380000001617,-0.008861365162488255,1.3001475014945072,512
